kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.5,,63.2535131912293,49.07927936263704
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.5,,86.53124092468629,69.68623934216868
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.5,,69.23832423647204,54.766036269631286
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.5,,88.00256597880377,70.89649563203277
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.7,,59.04482101212489,45.680016539352835
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.7,,85.71576635942904,69.0372623883121
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.7,,59.34866072659281,45.98152667155946
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.7,,85.6233249225833,69.00977325197918
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.7,,62.33368493935937,48.98787793248701
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.7,,86.28107398239298,69.61612759314488
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.9,,56.153394778037566,43.26475544275844
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.9,,85.2373306090438,68.71007079972237
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.9,,56.52569657892688,43.637057243647774
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.9,,85.23590189345654,68.7086420841351
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.9,,57.18159236839711,44.186791613665434
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.9,,85.35239499343712,68.82513518411571
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.0,87.05882461170907,70.23353729279083
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.0,90.46958840692626,72.78307823508281
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.0,87.16373425446297,70.38938543343647
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.0,90.43465968739503,72.72607677973272
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.0,87.02990082779006,70.18442448990504
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.0,90.33149093567198,72.71485307660737
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.1,89.74485847625034,72.09445009609003
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.1,90.8454454428453,72.91910444516273
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.1,89.93397312384816,72.29244728402685
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.1,90.81603549198266,72.89499046083861
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.1,89.70157765239041,72.06493081333647
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.1,90.74237496366854,72.86413458092552
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.2,89.78126678871793,72.0973678332214
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.2,90.88143329892318,72.93546514557974
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.2,89.73152202964101,72.11010063461774
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.2,90.72976720992193,72.82062106011229
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.2,89.7845819620666,72.16424038018528
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.2,90.84831941023921,72.9171931079498
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.30000000000000004,89.49500294752929,71.97918482878795
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.30000000000000004,90.77626143911975,72.85508770060318
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.30000000000000004,89.69776205150552,72.09903422843614
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.30000000000000004,90.72726840560851,72.83238881640469
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.30000000000000004,89.77956510147544,72.13295128303727
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.30000000000000004,90.8553741259072,72.90972674601812
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.4,89.46078386070332,71.89667881659707
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.4,90.5083878059659,72.63897649522528
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.4,89.46775386029724,71.89230156616338
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.4,90.44890714661803,72.57913479360529
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.4,89.4628594421832,71.87611308811022
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.4,90.60198628657992,72.7707491805127
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.5,88.63075685827837,71.21718166671101
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.5,89.92176876482917,72.2664882942048
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.5,88.75542530248,71.33967666542696
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.5,89.74654391593953,72.10225872421991
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.5,88.80324854327289,71.36158890206906
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.5,89.98590112416957,72.30503321339539
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.6000000000000001,88.21080571283562,70.95434816469528
